age,gender,music,artist_name,featured_artists,genre,duration,music_id,id_artists,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,time_signature,release_date,explicit,release_year,playcount,user_id,genre_spotify
16,F,Bank Account,21 Savage,"Birdy, Zoé",Dark Trap,3.67,2fQrGHiQOvpL9UgPvtYy6G,spotify:artist:1URnnhqYAYcrqrcwql10ft,0.0151,0.884,0.346,8,-8.228,0,0.351,7.04e-06,0.0871,0.376,75.016,4.0,2017-09-23,True,2017,6,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,
16,F,Little Talks,Of Monsters and Men,"Ninho, Snoop Dogg, Russ, Paramore",folk-pop,4.44,2ihCaVdNZmnHZWt0fvAM7B,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,0.1808499999999999,0.5775,0.4975,1,-7.879,1,0.0322,0.0,0.2845,0.413,101.8905,4.0,2013-04-12,False,2013,4,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,folk-pop
17,M,Wherever I Go,OneRepublic,"Keith Urban, DJ Khaled, NIKI, MF DOOM",piano rock,2.83,46jLy47W8rkf8rEX04gMKB,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,0.3634815,0.5686666666666667,0.644,0,-7.344833333333334,1,0.0894,0.0434322166666666,0.2731333333333333,0.4041833333333333,120.8505,4.0,2009-02-03,False,2009,5,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,piano rock
44,M,No New Friends,DJ Khaled,"The xx, LIT killah",Pop,5.14,5oVlbbiKGdGeZkWCFy0mqk,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,0.6759999999999999,0.843,0.419,1,-7.606,1,0.1669999999999999,0.0,0.0966,0.4,109.283,4.0,2017-01-01,False,2017,6,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,
44,M,Dreams,Campsite Dream,,Country,3.2,1SNoSoQ3JZldOhzBY9gw0n,spotify:artist:69VkQLf4DH7GJ68BCDOPKL,0.3594709392638036,0.5182288343558282,0.5440455214723926,0,-9.89463190184049,1,0.0788368098159509,0.2355267241104294,0.1803539877300613,0.3808153374233128,120.48847852760736,4.0,1974,False,1974,5,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,
18,M,Internet Friends,Knife Party,,Classical,5.02,5qFL2uwfnGU8FccwLMgPNQ,spotify:artist:2DuJi13MWHjRHrqRUwk8vH,0.0012599999999999,0.5345,0.909,5,-3.612,0,0.1759999999999999,0.06355,0.1615,0.1495,128.055,4.0,2012-08-01,True,2012,5,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,
60,F,Go to Sleep,The Avett Brothers,,indie folk,4.07,79EaEMoZZKQaU3j2cplaqu,spotify:artist:196lKsA13K3keVXMDFK66q,0.5143754545454545,0.5565454545454546,0.406890909090909,0,-12.594818181818182,1,0.0792090909090909,0.231925,0.1587181818181817,0.3448818181818182,130.41427272727273,4.0,1997-03-04,False,1997,7,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,indie folk
60,F,Roses,The Chainsmokers,"Jonas Blue, Radiohead, Pearl Jam, ABBA",Rock,3.76,6O6M7pJLABmfBRoGZMu76Y,spotify:artist:69GGBxA162lTqCwzJG5jLp,0.2749765513043478,0.5321521739130435,0.5945217391304347,1,-8.027086956521739,1,0.083895652173913,0.123690335,0.1934673913043478,0.3799652173913043,119.42460869565218,4.0,1995,False,1995,6,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,
15,F,It Wasn't Me,Shaggy,Joel Corry,Hip-Hop,3.79,1lzr43nnXAijIGYnCT8M8H,spotify:artist:5EvFsr3kj42KNv97ZEnqij,0.401395,0.512,0.605,0,-9.1465,1,0.04345,0.23770986,0.15825,0.57225,134.67,4.0,2005-06-20,False,2005,10,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,
15,F,Isn't She Lovely,Anthem Lights,,Soul,1.98,54XhssVlRK4Dv6bi1EfHzG,spotify:artist:7kwEvDE8e7EBGKh5bLczqQ,0.7083636363636363,0.5278181818181819,0.2789181818181818,2,-14.286909090909091,1,0.0379181818181818,0.1774605190909091,0.1249636363636363,0.4108181818181818,114.894,4.0,1984-09-01,False,1984,3,e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683,
